,Date,Open,High,Low,Close,Adj Close,Volume
30,2014-12-31,310.914001,320.192993,310.210999,320.192993,320.192993,13942900
32,2015-01-02,314.07901,315.838989,313.565002,315.032013,315.032013,7860650
394,2015-12-30,433.299988,434.38699299999996,422.084015,426.619995,426.619995,46889400
399,2016-01-04,430.06100499999997,434.51699800000006,429.084015,433.091003,433.091003,38477500
760,2016-12-30,972.534973,972.534973,934.8330080000001,961.237976,961.237976,187474000
763,2017-01-02,998.617004,1031.390015,996.7020259999999,1021.75,1021.75,222184992
1124,2017-12-29,14695.799805,15279.0,14307.0,14656.200195,14656.200195,13025500160
1128,2018-01-02,13625.0,15444.599609,13163.599609,14982.099609,14982.099609,16846600192
1491,2018-12-31,3866.839111,3868.74292,3725.867432,3742.700439,3742.700439,4661840806
1493,2019-01-02,3849.2163090000004,3947.9812009999996,3817.4094240000004,3943.4094240000004,3943.4094240000004,5244856835
1856,2019-12-31,7294.438965,7335.290039,7169.777831999999,7193.599120999999,7193.599120999999,21167946112
1858,2020-01-02,7202.55127,7212.155273,6935.27002,6985.470215,6985.470215,20802083465
